Sample
-2959.0
-1250.0
-1592.0
-1330.0
-1283.0
-379.0
-226.0
49.0
-986.0
-2805.0
-2407.0
-3218.0
-2498.0
-1699.0
-1752.0
-946.0
-1197.0
-805.0
-1207.0
-1580.0
-568.0
-302.0
-574.0
11.0
-712.0
-535.0
237.0
161.0
477.0
986.0
1398.0
1086.0
904.0
1719.0
1925.0
1966.0
2518.0
1948.0
1817.0
1885.0
2095.0
2230.0
2039.0
639.0
1356.0
446.0
333.0
964.0
973.0
313.0
-260.0
117.0
1308.0
1981.0
2127.0
1402.0
644.0
-51.0
-63.0
-395.0
-582.0
-205.0
-388.0
-843.0
-800.0
-13.0
130.0
342.0
-180.0
230.0
-1068.0
1.0
1034.0
-193.0
-111.0
-518.0
-366.0
-1269.0
-1003.0
91.0
307.0
-201.0
-607.0
-824.0
-705.0
-812.0
-1596.0
-1621.0
-2912.0
-3076.0
-3033.0
-2144.0
-2478.0
-2818.0
-2206.0
-3127.0
-2590.0
-2759.0
-3564.0
-2439.0
-2361.0
-2087.0
-1208.0
-803.0
-887.0
-642.0
326.0
-112.0
-169.0
1069.0
-121.0
339.0
653.0
-24.0
-130.0
-125.0
97.0
-412.0
102.0
-704.0
125.0
-40.0
-413.0
463.0
653.0
35.0
219.0
-915.0
-1258.0
-1698.0
-1068.0
-356.0
-1236.0
-1165.0
-2244.0
-2670.0
-1461.0
-2319.0
-2182.0
-1975.0
-2817.0
-2762.0
-3109.0
-3329.0
-2694.0
-2552.0
-2537.0
-3517.0
-3351.0
-2840.0
-2827.0
-2275.0
-2134.0
-1354.0
-1462.0
-1260.0
-1453.0
-850.0
-551.0
-1073.0
-2020.0
-2108.0
-1983.0
-2397.0
-2134.0
-1510.0
-937.0
-550.0
1635.0
1335.0
844.0
-73.0
-78.0
-235.0
-987.0
-497.0
-242.0
-702.0
-310.0
297.0
602.0
434.0
946.0
161.0
12.0
463.0
1540.0
2098.0
1901.0
733.0
-160.0
-111.0
770.0
29.0
-47.0
369.0
1060.0
498.0
551.0
2061.0
1276.0
2669.0
3246.0
3762.0
3189.0
2111.0
2200.0
1104.0
152.0
456.0
140.0
678.0
1325.0
1371.0
1348.0
1599.0
1876.0
1379.0
989.0
791.0
39.0
-128.0
-523.0
-913.0
-980.0
-1657.0
-1556.0
-2566.0
-1995.0
-1753.0
-2332.0
-1487.0
-986.0
